待ち牌のロス数,手牌,ロスの内訳
7,3677788899,6s3枚 7s1枚 8s1枚 9s2枚
7,3677889999,6s3枚 7s2枚 8s2枚
7,3678888999,6s3枚 7s3枚 9s1枚
7,3777788889,6s4枚 9s3枚
7,3777789999,6s4枚 8s3枚
7,3777888999,6s4枚 7s1枚 8s1枚 9s1枚
7,3788889999,6s4枚 7s3枚
7,4444677778,1s4枚 8s3枚
7,4444678888,1s4枚 7s3枚
7,4445566678,1s4枚 8s3枚
7,4455556678,1s4枚 8s3枚
7,4456677778,1s4枚 8s3枚
7,4456678999,1s4枚 8s3枚
7,4456788889,1s4枚 9s3枚
7,4456789999,1s4枚 8s3枚
7,4555666678,1s4枚 8s3枚
7,4555677778,1s4枚 8s3枚
7,4555678888,1s4枚 7s3枚
7,4666677778,1s4枚 8s3枚
7,4666678888,1s4枚 7s3枚
7,4677778999,1s4枚 8s3枚
7,4678888999,1s4枚 7s3枚
7,4777788889,1s4枚 9s3枚
7,4777789999,1s4枚 8s3枚
7,4777888999,1s4枚 7s1枚 8s1枚 9s1枚
7,4788889999,1s4枚 7s3枚
8,1111222235,8s4枚 9s4枚
8,1111223345,8s4枚 9s4枚
8,1111223346,2s2枚 3s2枚 9s4枚
8,1111233455,8s4枚 9s4枚
